ability_id,local_language_id,name
265,9,Grim Neigh
266,8,Sintonia Equina
266,9,As One
267,8,Sintonia Equina
267,9,As One
268,8,Odore Tenace
268,9,Lingering Aroma
269,8,Spargisemi
269,9,Seed Sower
270,8,Termoscambio
270,9,Thermal Exchange
271,8,Iraguscio
271,9,Anger Shell
272,8,Sale Purificante
272,9,Purifying Salt
273,8,Bentostato
273,9,Well-Baked Body
274,8,Vento Propizio
274,9,Wind Rider
275,8,Cane da Guardia
275,9,Guard Dog
276,8,Portamassi
276,9,Rocky Payload
277,8,Energia Eolica
277,9,Wind Power
278,8,Supercambio
278,9,Zero to Hero
279,8,Commander
279,9,Commander
280,8,Convertivolt
280,9,Electromorphosis
281,8,Paleoattivazione
281,9,Protosynthesis
282,8,Carica Quark
282,9,Quark Drive
283,8,Corpo Aureo
283,9,Good as Gold
284,8,Vaso Nefasto
284,9,Vessel of Ruin
285,8,Spada Nefasta
285,9,Sword of Ruin
286,8,Amuleto Nefasto
286,9,Tablets of Ruin
287,8,Monile Nefasto
287,9,Beads of Ruin
288,8,Ritmo d’Oricalco
288,9,Orichalcum Pulse
289,8,Motore Adronico
289,9,Hadron Engine
290,8,Scrocco
290,9,Opportunist
291,8,Ruminante
291,9,Cud Chew
292,8,Affilama
292,9,Sharpness
293,8,Generale Supremo
293,9,Supreme Overlord
294,8,Costar
294,9,Costar
295,8,Mantossina
295,9,Toxic Debris
296,8,Codarmatura
296,9,Armor Tail
297,8,Mangiaterra
297,9,Earth Eater
298,8,Micoforza
298,9,Mycelium Might
299,8,Occhio Interiore
299,9,Mind’s Eye
300,8,Sciroppo Sublime
300,9,Supersweet Syrup
301,8,Ospitalità
301,9,Hospitality
302,8,Catena Tossica
302,9,Toxic Chain
303,8,Albergamemorie
303,9,Embody Aspect
304,8,Teramorfosi
304,9,Tera Shift
305,8,Teraguscio
305,9,Tera Shell
306,8,Zeroformazione
306,9,Teraform Zero
307,8,Malia Tossica
307,9,Poison Puppeteer
10001,9,Mountaineer
10002,9,Wave Rider
10003,9,Skater
10004,9,Thrust
10005,9,Perception
10006,9,Parry
10007,9,Instinct
10008,9,Dodge
10009,9,Jagged Edge
10010,9,Frostbite
10011,9,Tenacity
10012,9,Pride
10013,9,Deep Sleep
10014,9,Power Nap
10015,9,Spirit
10016,9,Warm Blanket
10017,9,Gulp
10018,9,Herbivore
10019,9,Sandpit
10020,9,Hot Blooded
10021,9,Medic
10022,9,Life Force
10023,9,Lunchbox
10024,9,Nurse
10025,9,Melee
10026,9,Sponge
10027,9,Bodyguard
10028,9,Hero
10029,9,Last Bastion
10030,9,Stealth
10031,9,Vanguard
10032,9,Nomad
10033,9,Sequence
10034,9,Grass Cloak
10035,9,Celebrate
10036,9,Lullaby
10037,9,Calming
10038,9,Daze
10039,9,Frighten
10040,9,Interference
10041,9,Mood Maker
10042,9,Confidence
10043,9,Fortune
10044,9,Bonanza
10045,9,Explode
10046,9,Omnipotent
10047,9,Share
10048,9,Black Hole
10049,9,Shadow Dash
10050,9,Sprint
10051,9,Disgust
10052,9,High-rise
10053,9,Climber
10054,9,Flame Boost
10055,9,Aqua Boost
10056,9,Run Up
10057,9,Conqueror
10058,9,Shackle
10059,9,Decoy
10060,9,Shield
